week,home,away,date,time,score_home,score_away
1,PHI,ATL,20180906,2020,,
1,BAL,BUF,20180909,1300,,
1,CLE,PIT,20180909,1300,,
1,IND,CIN,20180909,1300,,
1,MIA,TEN,20180909,1300,,
1,MIN,SF,20180909,1300,,
1,NE,HOU,20180909,1300,,
1,NO,TB,20180909,1300,,
1,NYG,JAX,20180909,1300,,
1,LAC,KC,20180909,1605,,
1,ARI,WAS,20180909,1625,,
1,CAR,DAL,20180909,1625,,
1,DEN,SEA,20180909,1625,,
1,GB,CHI,20180909,2020,,
1,DET,NYJ,20180910,1910,,
1,OAK,LAR,20180910,2220,,
2,CIN,BAL,20180913,2020,,
2,ATL,CAR,20180916,1300,,
2,BUF,LAC,20180916,1300,,
2,GB,MIN,20180916,1300,,
2,NO,CLE,20180916,1300,,
2,NYJ,MIA,20180916,1300,,
2,PIT,KC,20180916,1300,,
2,TB,PHI,20180916,1300,,
2,TEN,HOU,20180916,1300,,
2,WAS,IND,20180916,1300,,
2,LAR,ARI,20180916,1605,,
2,SF,DET,20180916,1605,,
2,DEN,OAK,20180916,1625,,
2,JAX,NE,20180916,1625,,
2,DAL,NYG,20180916,2020,,
2,CHI,SEA,20180917,2015,,
3,CLE,NYJ,20180920,2020,,
3,ATL,NO,20180923,1300,,
3,BAL,DEN,20180923,1300,,
3,CAR,CIN,20180923,1300,,
3,HOU,NYG,20180923,1300,,
3,JAX,TEN,20180923,1300,,
3,KC,SF,20180923,1300,,
3,MIA,OAK,20180923,1300,,
3,MIN,BUF,20180923,1300,,
3,PHI,IND,20180923,1300,,
3,WAS,GB,20180923,1300,,
3,LAR,LAC,20180923,1605,,
3,ARI,CHI,20180923,1625,,
3,SEA,DAL,20180923,1625,,
3,DET,NE,20180923,2020,,
3,TB,PIT,20180924,2015,,
4,LAR,MIN,20180927,2020,,
4,ATL,CIN,20180930,1300,,
4,CHI,TB,20180930,1300,,
4,DAL,DET,20180930,1300,,
4,GB,BUF,20180930,1300,,
4,IND,HOU,20180930,1300,,
4,JAX,NYJ,20180930,1300,,
4,NE,MIA,20180930,1300,,
4,TEN,PHI,20180930,1300,,
4,ARI,SEA,20180930,1605,,
4,OAK,CLE,20180930,1605,,
4,LAC,SF,20180930,1625,,
4,NYG,NO,20180930,1625,,
4,PIT,BAL,20180930,2020,,
4,DEN,KC,20181001,2015,,
5,NE,IND,20181004,2020,,
5,BUF,TEN,20181007,1300,,
5,CAR,NYG,20181007,1300,,
5,CIN,MIA,20181007,1300,,
5,CLE,BAL,20181007,1300,,
5,DET,GB,20181007,1300,,
