week,home,away,date,time,score_home,score_away
1,NE,KC,20180907,2030,38,42
1,BUF,NYJ,20180910,1300,12,23
1,CHI,ATL,20180910,1300,26,47
1,CIN,BAL,20180910,1300,16,31
1,CLE,PIT,20180910,1300,0,49
1,DET,ARI,20180910,1300,40,29
1,HOU,JAX,20180910,1300,46,40
1,MIA,TB,20180910,1300,20,22
1,TEN,OAK,20180910,1300,3,35
1,WAS,PHI,20180910,1300,30,18
1,LAR,IND,20180910,1605,5,14
1,GB,SEA,20180910,1625,11,12
1,SF,CAR,20180910,1625,14,7
1,DAL,NYG,20180910,2030,35,42
1,MIN,NO,20180911,1910,3,28
1,DEN,LAC,20180911,2220,1,13
2,CIN,HOU,20180914,2025,38,5
2,BAL,CLE,20180917,1300,12,11
2,CAR,BUF,20180917,1300,26,14
2,IND,ARI,20180917,1300,16,35
2,JAX,TEN,20180917,1300,0,12
2,KC,PHI,20180917,1300,40,26
2,NO,NE,20180917,1300,46,16
2,PIT,MIN,20180917,1300,20,0
2,TB,CHI,20180917,1300,3,35
2,LAC,MIA,20180917,1605,30,18
2,OAK,NYJ,20180917,1605,5,14
2,DEN,DAL,20180917,1625,28,12
2,LAR,WAS,20180917,1625,23,7
2,SEA,SF,20180917,1625,47,42
2,ATL,GB,20180917,2030,31,28
2,NYG,DET,20180918,2030,49,13
3,SF,LAR,20180921,2025,10,27
3,JAX,BAL,20180924,930,1,4
3,BUF,DEN,20180924,1300,3,28
3,CAR,NO,20180924,1300,2,40
3,CHI,PIT,20180924,1300,34,22
3,DET,ATL,20180924,1300,29,7
3,IND,CLE,20180924,1300,35,10
3,MIN,TB,20180924,1300,4,23
3,NE,HOU,20180924,1300,41,4
3,NYJ,MIA,20180924,1300,3,26
3,PHI,NYG,20180924,1300,26,10
3,TEN,SEA,20180924,1605,9,35
3,GB,CIN,20180924,1625,17,14
3,LAC,KC,20180924,1625,38,33
3,WAS,OAK,20180924,2030,49,16
3,ARI,DAL,20180925,2030,43,25
4,GB,CHI,20180928,2025,43,12
4,MIA,NO,20181001,930,1,34
4,ATL,BUF,20181001,1300,30,23
4,BAL,PIT,20181001,1300,38,33
4,CLE,CIN,20181001,1300,43,37
4,DAL,LAR,20181001,1300,25,29
4,HOU,TEN,20181001,1300,27,36
4,MIN,DET,20181001,1300,27,21
4,NE,CAR,20181001,1300,42,4
4,NYJ,JAX,20181001,1300,39,30
4,ARI,SF,20181001,1605,49,26
4,LAC,PHI,20181001,1605,5,0
4,TB,NYG,20181001,1605,5,21
4,DEN,OAK,20181001,1625,5,33
4,SEA,IND,20181001,2030,28,19
4,KC,WAS,20181002,2030,43,21
5,TB,NE,20181005,2025,26,27
5,CIN,BUF,20181008,1300,18,34
5,CLE,NYJ,20181008,1300,35,49
5,DET,CAR,20181008,1300,41,6
5,IND,SF,20181008,1300,38,9
5,MIA,TEN,20181008,1300,30,5
5,NYG,LAC,20181008,1300,46,3
5,PHI,ARI,20181008,1300,42,20
5,PIT,JAX,20181008,1300,4,25
5,LAR,SEA,20181008,1605,19,49
5,OAK,BAL,20181008,1605,24,48
5,DAL,GB,20181008,1625,33,17
5,HOU,KC,20181008,2030,35,5
5,CHI,MIN,20181009,2030,19,32
6,CAR,PHI,20181012,2025,33,18
6,ATL,MIA,20181015,1300,8,24
6,BAL,CHI,20181015,1300,4,15
6,HOU,CLE,20181015,1300,38,9
6,MIN,GB,20181015,1300,42,33
6,NO,DET,20181015,1300,23,9
6,NYJ,NE,20181015,1300,5,33
6,WAS,SF,20181015,1300,38,31
6,ARI,TB,20181015,1605,32,44
6,JAX,LAR,20181015,1605,11,4
6,KC,PIT,20181015,1625,7,28
6,OAK,LAC,20181015,1625,20,18
6,DEN,NYG,20181015,2030,11,34
6,TEN,IND,20181016,2030,9,32
7,OAK,KC,20181019,2025,17,43
7,BUF,TB,20181022,1300,43,15
7,CHI,CAR,20181022,1300,9,44
7,CLE,TEN,20181022,1300,47,6
7,GB,NO,20181022,1300,15,11
7,IND,JAX,20181022,1300,41,3
7,LAR,ARI,20181022,1300,10,20
7,MIA,NYJ,20181022,1300,12,40
7,MIN,BAL,20181022,1300,49,39
7,PIT,CIN,20181022,1300,39,13
7,SF,DAL,20181022,1605,37,41
7,LAC,DEN,20181022,1625,48,34
7,NYG,SEA,20181022,1625,14,31
7,NE,ATL,20181022,2030,29,40
7,PHI,WAS,20181023,2030,22,23
8,BAL,MIA,20181026,2025,15,6
8,CLE,MIN,20181029,930,43,15
8,BUF,OAK,20180518,1300,38,35
8,CIN,IND,20180529,1300,13,48
8,NE,LAC,20180421,1000,31,39
8,NO,CHI,20180419,940,34,32
8,NYJ,ATL,20181029,1300,28,31
8,PHI,SF,20180419,1700,44,10
8,TB,CAR,20180418,1425,9,27
8,SEA,HOU,20180430,1545,17,21
8,WAS,DAL,20181029,1625,34,37
8,DET,PIT,20181029,2030,15,25
8,KC,DEN,20180430,1130,16,25
9,NYJ,BUF,20181102,2025,41,6
9,CAR,ATL,20181102,1300,18,49
9,HOU,IND,20181105,1300,16,4
9,JAX,CIN,20181105,700,0,18
9,NO,TB,20181105,1300,31,2
9,NYG,LAR,20181105,1300,30,31
9,PHI,DEN,20181105,1300,20,42
9,TEN,BAL,20181105,1300,26,3
9,SF,ARI,20181105,1605,32,45
9,SEA,WAS,20181105,1605,0,12
9,DAL,KC,20181105,1625,1,21
9,MIA,OAK,20181105,2030,3,26
9,GB,DET,20181106,2030,5,20
10,ARI,SEA,20181109,2025,2,29
10,BUF,NO,20181112,1300,13,48
10,CHI,GB,20181112,1300,2,35
10,DET,CLE,20181112,1300,27,3
10,IND,PIT,20181112,1300,4,16
10,JAX,LAC,20181112,1300,34,24
10,TB,NYJ,20181112,1300,11,48
10,TEN,CIN,20181112,1300,49,21
10,WAS,MIN,20181112,1300,36,17
10,LAR,HOU,20181112,1605,14,30
10,ATL,DAL,20181112,1625,29,27
10,SF,NYG,20181112,1625,5,11
10,DEN,NE,20181112,2030,20,19
10,CAR,MIA,20181113,2030,11,5
11,PIT,TEN,20181116,2025,23,46
11,CHI,DET,20181119,1300,43,16
11,CLE,JAX,20181119,1300,18,10
11,GB,BAL,20181119,1300,5,2
11,HOU,ARI,20181119,1300,18,37
11,MIN,LAR,20181119,1300,2,43
11,NO,WAS,20181119,1300,17,10
11,NYG,KC,20181119,1300,11,39
11,LAC,BUF,20181119,1605,0,34
11,DEN,CIN,20181119,1625,39,17
11,OAK,NE,20181119,1625,9,42
11,DAL,PHI,20181119,2030,26,47
11,SEA,ATL,20181120,2030,43,0
12,DET,MIN,20181123,2430,4,48
12,DAL,LAC,20181123,1630,37,12
12,WAS,NYG,20181123,2030,22,39
12,ATL,TB,20181126,1300,10,26
12,CIN,CLE,20181126,1300,15,35
12,IND,TEN,20181126,1300,6,39
12,KC,BUF,20181126,1300,5,26
12,NE,MIA,20181126,1300,41,35
12,NYJ,CAR,20181126,1300,48,29
12,PHI,CHI,20181126,1300,39,49
12,LAR,NO,20181126,1605,32,4
12,SF,SEA,20181126,1605,3,11
12,ARI,JAX,20181126,1625,40,24
12,OAK,DEN,20181126,1625,11,39
12,PIT,GB,20181126,2030,11,29
12,BAL,HOU,20180502,1100,38,48
13,DAL,WAS,20181130,2025,17,42
13,ATL,MIN,20181203,1300,34,1
13,BAL,DET,20181203,1300,7,33
13,BUF,NE,20181203,1300,6,45
13,CHI,SF,20181203,1300,33,17
13,GB,TB,20181203,1300,4,21
13,JAX,IND,20181203,1300,33,22
13,MIA,DEN,20181203,1300,15,0
13,NO,CAR,20181203,1300,21,41
13,NYJ,KC,20181203,1300,30,24
13,TEN,HOU,20181203,1300,35,41
13,LAC,CLE,20181203,1605,2,10
13,ARI,LAR,20181203,1625,36,0
13,OAK,NYG,20181203,1625,4,26
13,SEA,PHI,20181203,2030,24,48
13,CIN,PIT,20181204,2030,16,20
14,ATL,NO,20181207,2025,29,6
14,BUF,IND,20181210,1300,44,16
14,CAR,MIN,20181210,1300,37,7
14,CIN,CHI,20181210,1300,45,19
14,CLE,GB,20181210,1300,5,8
14,HOU,SF,20181210,1300,37,4
14,JAX,SEA,20181210,1300,26,18
14,KC,OAK,20181210,1300,9,49
14,TB,DET,20181210,1300,43,30
14,ARI,TEN,20181210,1605,12,24
14,DEN,NYJ,20181210,1605,2,49
14,LAC,WAS,20181210,1605,31,33
14,LAR,PHI,20181210,1625,10,16
14,NYG,DAL,20181210,1625,9,22
14,PIT,BAL,20181210,2030,30,41
14,MIA,NE,20181211,2030,38,17
15,IND,DEN,20181214,2025,2,27
15,DET,CHI,20181216,1630,21,3
15,KC,LAC,20181216,2025,9,48
15,BUF,MIA,20181217,1300,47,7
15,CAR,GB,20181217,1300,0,42
15,CLE,BAL,20181217,1300,45,41
15,JAX,HOU,20181217,1300,2,7
15,MIN,CIN,20181217,1300,46,26
15,NO,NYJ,20181217,1300,45,30
15,NYG,PHI,20181217,1300,8,24
15,WAS,ARI,20181217,1300,19,13
15,SEA,LAR,20181217,1605,10,27
15,PIT,NE,20181217,1625,14,24
15,SF,TEN,20181217,1625,16,36
15,OAK,DAL,20181217,2030,33,40
15,TB,ATL,20181218,2030,43,13
16,BAL,IND,20181223,1630,29,26
16,GB,MIN,20181223,2030,47,38
16,CAR,TB,20181224,1300,15,28
16,CHI,CLE,20181224,1300,45,25
16,CIN,DET,20181224,1300,6,4
16,KC,MIA,20181224,1300,34,18
16,NE,BUF,20181224,1300,8,29
16,NO,ATL,20181224,1300,47,49
16,NYJ,LAC,20181224,1300,27,14
16,TEN,LAR,20181224,1300,8,0
16,WAS,DEN,20181224,1300,26,33
16,SF,JAX,20181224,1605,26,43
16,ARI,NYG,20181224,1625,28,46
16,DAL,SEA,20181224,1625,5,16
16,HOU,PIT,20181225,1630,12,24
16,PHI,OAK,20181225,2030,43,38
17,ATL,CAR,20181231,1300,28,7
17,BAL,CIN,20181231,1300,35,9
17,DET,GB,20181231,1300,32,36
17,IND,HOU,20181231,1300,29,0
17,MIA,BUF,20181231,1300,36,32
17,MIN,CHI,20181231,1300,32,20
17,NE,NYJ,20181231,1300,3,13
17,NYG,WAS,20181231,1300,39,17
17,PHI,DAL,20181231,1300,8,11
17,PIT,CLE,20181231,1300,25,9
17,TB,NO,20181231,1300,41,33
17,TEN,JAX,20181231,1300,35,3
17,DEN,KC,20181231,1625,8,27
17,LAC,OAK,20181231,1625,0,27
17,LAR,SF,20181231,1625,40,13
17,SEA,ARI,20181231,1625,2,29
