Team,Code,Division
Arizona Cardinals,ARI,NFC West
Atlanta Falcons,ATL,NFC South
Baltimore Ravens,BAL,AFC North
Buffalo Bills,BUF,AFC East
Carolina Panthers,CAR,NFC South
Chicago Bears,CHI,NFC North
Cincinnati Bengals,CIN,AFC North
Cleveland Browns,CLE,AFC North
Dallas Cowboys,DAL,NFC East
Denver Broncos,DEN,AFC West
Detroit Lions,DET,NFC East
Green Bay Packers,GB,NFC North
Houston Texans,HOU,AFC South
Indianapolis Colts,IND,AFC South
Jacksonville Jaguars,JAX,AFC South
Kansas City Chiefs,KC,AFC West
Miami Dolphins,MIA,AFC East
Minnesota Vikings,MIN,NFC North
New England Patriots,NE,AFC East
New Orleans Saints,NO,NFC South
New York Giants,NYG,NFC East
New York Jets,NYJ,AFC East
Oakland Raiders,OAK,AFC West
Philadelphia Eagles,PHI,NFC East
Pittsburgh Steelers,PIT,AFC North
Los Angeles Chargers,LAC,AFC West
San Francisco 49ers,SF,NFC West
Seattle Seahawks,SEA,NFC West
Los Angeles Rams,LAR,NFC West
Tampa Bay Buccaneers,TB,NFC South
Tennessee Titans,TEN,AFC South
Washington Redskins,WAS,NFC East
